community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0393,175,119,67,46,0.6571,access_connectivity,0.7632,0.2171,0.4686,Environmental and Social,0.3347,0.3354,0.7294,REF030,0.4479,shortlist,,20260918T0131-7dd1a33,discover-1
c0704,175,100,22,24,0.3429,dpi,0.2567,0.0,0.1371,Sectoral and Institutional Context,0.0932,0.2451,0.6186,REF068,0.6052,shortlist,,20260918T0131-7dd1a33,discover-1
c0790,172,155,51,43,0.6143,dpi,0.5114,0.0174,0.0814,Project Components,0.2426,0.2885,0.6944,REF079,0.4625,shortlist,,20260918T0131-7dd1a33,discover-1
c0774,171,159,66,52,0.7429,dpi,0.7909,0.0117,0.152,Sectoral and Institutional Context,0.346,0.2802,0.7653,REF067,0.5167,shortlist,,20260918T0131-7dd1a33,discover-1
c0668,168,120,66,57,0.8143,data_hosting,0.9591,0.1786,0.9524,Implementation Arrangements and Support Plan,0.3108,0.2386,0.6875,REF005,0.4073,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0268,164,113,21,17,0.2429,data_hosting,0.8116,0.0244,0.2256,Project Components,0.097,0.2828,0.6746,REF067,0.4343,shortlist,,20260918T0131-7dd1a33,discover-1
c0685,164,149,77,52,0.7429,access_connectivity,0.7443,0.0061,0.811,Implementation Arrangements and Support Plan,0.3867,0.2897,0.7333,REF045,0.4403,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0505,157,136,52,44,0.6286,cybersecurity,0.4017,0.0127,0.0764,Project Components,0.256,0.3721,0.7186,REF047,0.6339,shortlist,,20260918T0131-7dd1a33,discover-1
c0456,154,138,64,59,0.8429,dpi,0.9367,0.0065,0.0455,Project Components,0.311,0.6103,0.7095,REF051,0.6634,shortlist,,20260918T0131-7dd1a33,discover-1
c0593,154,133,58,42,0.6,dpi,0.8102,0.3701,0.8377,Institutional and Implementation Arrangements,0.2751,0.285,0.6925,REF086,0.4108,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
