community_id,size,top_section,junk_section_share,n_projects,verdict_reason,run_id
c0608,96,Institutional and Implementation Arrangements,0.8333,44,junk_section_share>=0.6,20260918T0131-7dd1a33
c0609,30,Institutional and Implementation Arrangements,0.8667,19,junk_section_share>=0.6,20260918T0131-7dd1a33
c0611,34,Implementation Arrangements and Support Plan,0.8529,23,junk_section_share>=0.6,20260918T0131-7dd1a33
c0612,60,KEY RISKS,1.0,32,junk_section_share>=0.6,20260918T0131-7dd1a33
c0614,105,Implementation Arrangements and Support Plan,0.9714,47,junk_section_share>=0.6,20260918T0131-7dd1a33
c0615,265,Implementation Arrangements and Support Plan,0.9585,66,junk_section_share>=0.6,20260918T0131-7dd1a33
c0620,68,Implementation Arrangements and Support Plan,0.6912,25,junk_section_share>=0.6,20260918T0131-7dd1a33
c0621,31,Institutional and Implementation Arrangements,0.6129,18,junk_section_share>=0.6,20260918T0131-7dd1a33
c0627,87,Institutional and Implementation Arrangements,0.8161,40,junk_section_share>=0.6,20260918T0131-7dd1a33
c0632,279,Fiduciary,0.9427,62,junk_section_share>=0.6,20260918T0131-7dd1a33
c0634,81,Implementation Arrangements and Support Plan,0.9753,38,junk_section_share>=0.6,20260918T0131-7dd1a33
c0635,60,Implementation Arrangements and Support Plan,0.9667,36,junk_section_share>=0.6,20260918T0131-7dd1a33
c0636,36,Implementation Arrangements and Support Plan,1.0,30,junk_section_share>=0.6,20260918T0131-7dd1a33
c0638,34,Implementation Arrangements and Support Plan,0.9412,22,junk_section_share>=0.6,20260918T0131-7dd1a33
c0639,45,KEY RISKS,0.7556,21,junk_section_share>=0.6,20260918T0131-7dd1a33
c0642,58,Implementation Arrangements and Support Plan,0.9828,30,junk_section_share>=0.6,20260918T0131-7dd1a33
c0646,27,Implementation Arrangements and Support Plan,0.9259,17,junk_section_share>=0.6,20260918T0131-7dd1a33
c0647,43,Implementation Arrangements and Support Plan,1.0,26,junk_section_share>=0.6,20260918T0131-7dd1a33
c0651,30,Implementation Arrangements and Support Plan,0.9333,23,junk_section_share>=0.6,20260918T0131-7dd1a33
c0652,81,Implementation Arrangements and Support Plan,0.9506,42,junk_section_share>=0.6,20260918T0131-7dd1a33
c0654,54,Implementation Arrangements and Support Plan,1.0,37,junk_section_share>=0.6,20260918T0131-7dd1a33
c0655,153,Implementation Arrangements and Support Plan,0.8627,55,junk_section_share>=0.6,20260918T0131-7dd1a33
