variant,package_key,package_id,project_id,description_lang,category,status,resolution,asset_class,group,term_len
clean,P160766|TZ-MCIT-268429-CS-CQS,TZ-MCIT-268429-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-268429-CS-CQS,TZ-MCIT-268429-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-268429-CS-CQS,TZ-MCIT-268429-CS-CQS,P160766,en,consultant_services,signed,fine,fiber,telecom,4
clean,P160766|TZ-MCIT-268757-CS-CQS,TZ-MCIT-268757-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-268757-CS-CQS,TZ-MCIT-268757-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-268757-CS-CQS,TZ-MCIT-268757-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,0
clean,P160766|TZ-MCIT-268760-CS-CQS,TZ-MCIT-268760-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-268760-CS-CQS,TZ-MCIT-268760-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-268760-CS-CQS,TZ-MCIT-268760-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-278874-GO-RFB,TZ-MCIT-278874-GO-RFB,P160766,en,goods,signed,coarse,,telecom,
deglued,P160766|TZ-MCIT-278874-GO-RFB,TZ-MCIT-278874-GO-RFB,P160766,en,goods,signed,coarse,,telecom,
match_key,P160766|TZ-MCIT-278874-GO-RFB,TZ-MCIT-278874-GO-RFB,P160766,en,goods,signed,fine,dpi,platform,3
clean,P160766|TZ-MCIT-285550-NC-RFB,TZ-MCIT-285550-NC-RFB,P160766,en,non_consulting_services,signed,coarse,,telecom,
