fetch_id,source,endpoint,query_params,fetched_at,record_count,response_sha256
013b0cd2116115cf,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P167183,2026-09-15T22:05:44Z,165,294fae46d42db422a8a0ae3d0d59d461ed6cc942f2c857fe19d0ea9b3660b425
02109387f359c68d,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P180693,2026-09-15T22:05:26Z,53,c4e6e71cf928d3c9d4d4e7424b9317f9f442f91baa714b973773e047ff8ab916
0462d80f9ee254db,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P179204,2026-09-15T22:06:02Z,14,24a322a45dd2e5f2a3757e1ddd574b760a26f545397ad4e6f75d9542f8ae2617
0561be8ac1a8c26d,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P171099&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:07:58Z,65,b2550cd03ea626ca538d50dd6b7b0f22e95e87fb5df750a6601d0f52c1244b19
0bb9e15c4cfdd63a,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P173373,2026-09-15T22:05:52Z,91,a7ae9edb99afd4f4ab9310c61a75e70c0b9377c6641010263d58e9fdb098f416
0c222449c19246e4,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P180693,2026-09-15T22:06:04Z,24,66d71dfb9d064ff08aeb24b4104b38f61a92438d70ef957d66081ac4c058bbdb
0c7a7a7c1cd2019d,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P506791,2026-09-15T22:05:40Z,0,1ba4e6add8215b8bd49dc2205ac80989e49ae307e8936f495d6c591633326d8b
1085cb996b6b8343,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P179040,2026-09-15T22:05:07Z,121,e5b255b97780e0da085468cc27e6644a43d98413535e6e41b5d3a19dbb71047b
10ff8c780617555d,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P176396,2026-09-15T22:04:51Z,257,d8360ea58b8702096c28ccd1fa4e8135d2be30562778764eed84ff781729417f
11328c78d6d5b76b,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P176396&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:09Z,55,ff5dfad8dcb22712033477fa000adabcb70186b69a78417f69603afaadc6a5c6
12631e4f9583d0c0,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P177158,2026-09-15T22:06:00Z,53,7d83a0501573e8068e51e98a88c6f760e9fce04cad8e3ddcdf561a8b0779a0e6
128d19384f0cddf5,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P500628&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:22Z,30,abf424d1597eaa0bfb338dd92dd6fb1f1faca3680680bfca60d5bba71775e1f8
1483203cd016671a,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P500628,2026-09-15T22:06:07Z,1,9f8c2bad2eae2606ebd5731bcedf677711b9ef2ecbd9536fb17abc08ab767854
14c9d67e791cc973,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P170910,2026-09-15T22:05:47Z,0,21fdc86d1384a15f9c683827dc684cacaaa8a916f4a41fbe7a7d5ccc24377f64
