community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0193,199,186,72,56,0.8,dpi,0.7239,0.0201,0.4171,Project Components,0.3295,0.3862,0.6682,REF053,0.5049,shortlist,,20260918T0135-7dd1a33,discover-1
c0118,198,194,68,59,0.8429,access_connectivity,0.8081,0.0,0.2576,Project Components,0.2928,0.4451,0.6287,REF011,0.4234,shortlist,,20260918T0135-7dd1a33,discover-1
c0268,198,95,15,12,0.1714,dpi,0.3508,0.0202,0.2273,Technical Design and Component Descriptions,0.0674,0.281,0.6561,REF069,0.4528,shortlist,,20260918T0135-7dd1a33,discover-1
c0291,197,159,72,58,0.8286,dpi,0.694,0.3401,0.8376,Institutional and Implementation Arrangements,0.354,0.2949,0.7178,REF030,0.366,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0223,195,180,97,53,0.7571,access_connectivity,0.7975,0.0051,0.3487,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,0.4279,0.2556,0.644,REF063,0.3562,shortlist,,20260918T0135-7dd1a33,discover-1
c0051,194,194,86,65,0.9286,access_connectivity,0.781,0.0206,0.0412,Project Components,0.4579,0.2908,0.7773,REF085,0.4054,shortlist,,20260918T0135-7dd1a33,discover-1
c0229,192,165,81,49,0.7,dpi,0.7565,0.0104,0.3698,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,0.3762,0.3191,0.6782,REF036,0.2994,shortlist,,20260918T0135-7dd1a33,discover-1
c0287,191,110,57,52,0.7429,drm_ews,0.644,0.0157,0.0681,Relevance to Higher Level Objectives,0.2695,0.4442,0.6904,REF057,0.4819,shortlist,,20260918T0135-7dd1a33,discover-1
c0119,190,184,68,57,0.8143,dpi,0.8199,0.0,0.3158,Project Components,0.3167,0.4061,0.6799,REF052,0.3554,shortlist,,20260918T0135-7dd1a33,discover-1
c0308,190,141,62,48,0.6857,dpi,0.7679,0.0368,0.6579,Institutional and Implementation Arrangements,0.2787,0.2533,0.6562,REF086,0.3918,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0218,189,160,65,59,0.8429,dpi,0.9206,0.0159,0.037,Project Components,0.3079,0.6163,0.6917,REF051,0.6981,shortlist,,20260918T0135-7dd1a33,discover-1
c0237,187,133,50,47,0.6714,dpi,0.891,0.016,0.877,Implementation Arrangements and Support Plan,0.2292,0.3058,0.6692,REF030,0.3438,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0408,186,163,49,45,0.6429,access_connectivity,0.4006,0.1129,0.1075,Project Components,0.2384,0.3033,0.7102,REF046,0.6133,shortlist,,20260918T0135-7dd1a33,discover-1
c0087,184,163,59,47,0.6714,access_connectivity,0.7502,0.1957,0.0435,Project Components,0.2987,0.2348,0.7391,REF067,0.4982,shortlist,,20260918T0135-7dd1a33,discover-1
c0278,184,143,59,56,0.8,access_connectivity,0.785,0.0054,0.7772,Implementation Arrangements and Support Plan,0.2846,0.2782,0.7041,REF045,0.4366,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0032,182,124,54,33,0.4714,drm_ews,0.0928,0.1154,0.1538,Project Components,0.2637,0.4649,0.713,REF058,0.4728,shortlist,,20260918T0135-7dd1a33,discover-1
c0063,182,153,86,62,0.8857,dpi,0.758,0.0385,0.3407,Project Development Objective,0.4419,0.2542,0.7502,REF027,0.3371,shortlist,,20260918T0135-7dd1a33,discover-1
c0206,181,163,70,59,0.8429,dpi,0.7291,0.0,0.2376,Project Components,0.2933,0.4103,0.6117,REF024,0.467,shortlist,,20260918T0135-7dd1a33,discover-1
c0041,180,124,80,41,0.5857,access_connectivity,0.4497,0.0222,0.3333,Project Status,0.4089,0.3148,0.7463,REF030,0.309,shortlist,,20260918T0135-7dd1a33,discover-1
c0199,180,126,53,53,0.7571,dpi,0.5852,0.0889,0.3278,Project Components,0.2387,0.3028,0.6576,REF021,0.5363,shortlist,,20260918T0135-7dd1a33,discover-1
c0354,179,139,46,39,0.5571,access_connectivity,0.5996,0.0,0.1117,Project Components,0.1717,0.3872,0.5448,REF072,0.3585,shortlist,,20260918T0135-7dd1a33,discover-1
c0296,176,149,57,53,0.7571,access_connectivity,0.5158,0.0,0.517,Implementation Arrangements and Support Plan,0.2607,0.291,0.6677,REF045,0.453,shortlist,,20260918T0135-7dd1a33,discover-1
c0410,176,165,63,47,0.6714,dpi,0.6746,0.0284,0.3466,Project Components,0.3282,0.2571,0.7607,REF051,0.538,shortlist,,20260918T0135-7dd1a33,discover-1
c0398,172,155,51,43,0.6143,dpi,0.5114,0.0174,0.0814,Project Components,0.2426,0.2885,0.6944,REF079,0.4625,shortlist,,20260918T0135-7dd1a33,discover-1
c0072,171,140,68,59,0.8429,,0.0,0.0526,0.9766,Fiduciary,0.3676,0.4211,0.7893,REF085,0.4323,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0228,171,136,66,38,0.5429,access_connectivity,0.8194,0.0058,0.5731,DESCRIPTION OF PROPOSED CHANGES,0.3167,0.3262,0.7006,REF030,0.3571,shortlist,,20260918T0135-7dd1a33,discover-1
c0388,171,159,66,52,0.7429,dpi,0.7909,0.0117,0.152,Sectoral and Institutional Context,0.346,0.2802,0.7653,REF067,0.5167,shortlist,,20260918T0135-7dd1a33,discover-1
c0027,170,167,57,56,0.8,access_connectivity,0.796,0.0,0.3235,Implementation Arrangements and Support Plan,0.3388,0.2774,0.8678,REF027,0.2717,shortlist,,20260918T0135-7dd1a33,discover-1
c0342,169,139,74,53,0.7571,access_connectivity,0.8113,0.0118,0.9112,Implementation Arrangements and Support Plan,0.3381,0.2868,0.6671,REF085,0.3534,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0166,168,166,75,55,0.7857,dpi,0.8209,0.0,0.2738,DETAILED CHANGE(S),0.271,0.3087,0.5275,REF027,0.2726,shortlist,,20260918T0135-7dd1a33,discover-1
c0125,164,113,21,17,0.2429,data_hosting,0.8116,0.0244,0.2256,Project Components,0.097,0.2828,0.6746,REF067,0.4343,shortlist,,20260918T0135-7dd1a33,discover-1
c0337,164,149,77,52,0.7429,access_connectivity,0.7443,0.0061,0.811,Implementation Arrangements and Support Plan,0.3867,0.2897,0.7333,REF045,0.4403,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
