clause_id,paragraph_id,doc_id,block,section,section_path,char_start,char_end,text_sha256,split_rule,norm_hash,drop_reason
34370345:p00029:c13:split-1,34370345:p00029,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,2672,2785,08ce01e2be3b0a6a0556be6d17507f88208a4e3c92790f52b6682481191b687f,sentence,,duplicate
34370345:p00029:c14:split-1,34370345:p00029,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,2788,2902,5b0e36527bbdc1032c62739ba4a31174246ed64b46ccd65beddf5375e081873f,coord_conj,,duplicate
34370345:p00030:c03:split-1,34370345:p00030,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,3295,3303,7bcde334bfa6108f0f9d3ce6aba0020c71400e89e7760332bc9f6218c2346e2c,verb_subtree,,duplicate
34370345:p00030:c08:split-1,34370345:p00030,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,3591,3620,f0c2d1849bf97c6b3a78fedf3685fee783710617d63c6c626228d8aee52241a7,relative,,duplicate
34370345:p00031:c03:split-1,34370345:p00031,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,4346,4416,baee726ac22a037c672c8dc16a8340c5f322a766d08b43dbda6297065a6135d4,verb_subtree,,duplicate
34370345:p00031:c04:split-1,34370345:p00031,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,4418,4516,c56134ae508db60fca81e7cdf6c7cdcfb03af41e269ac8faa29867ee6f202605,sentence,,duplicate
34370345:p00031:c10:split-1,34370345:p00031,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,4970,5038,3e551344dfb08e25b31d57a62e10107a9476ab925788fbec8657baba27ad8038,sentence,,duplicate
34370345:p00031:c11:split-1,34370345:p00031,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,5039,5047,a1f9533c097724a002f48180f4824f0fd327a8cd7bf7884aae63c1e764a13929,verb_subtree,,duplicate
34370345:p00032:c03:split-1,34370345:p00032,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,5497,5502,d0d700856a5a18b9420658129c55ecbb7e527cb3bfd0e0aa8d7d13727f90917c,verb_subtree,,duplicate
34370345:p00033:c03:split-1,34370345:p00033,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,5766,5837,230d25da0d6cb4462f3ceb3d5d7b344942d81a9f9cc2b1f457c6e697cd3b91bc,sentence,,duplicate
34370345:p00033:c05:split-1,34370345:p00033,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,5898,5961,db942b872c2620430c0a63e3f9c060c0d22ebcca101ecb8b09d994def2c3135f,semicolon,,duplicate
34370345:p00034:c01:split-1,34370345:p00034,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,6588,6648,c3f1982cb1d5380adabcd87917229469625056031884b0a5a6f0e2c9947c642f,sentence,,heading
34370345:p00037:c03:split-1,34370345:p00037,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,7296,7308,2d33eda1b8afdd2b202cd71b0990b96a25fa20a7a044d712b276012a06c72951,verb_subtree,,duplicate
34370345:p00037:c07:split-1,34370345:p00037,34370345,narrative,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,I,7454,7457,6201111b83a0cb5b0922cb37cc442b9a40e24e3b1ce100a4bb204f4c63fd2ac0,coord_conj,,duplicate
34370345:p00042:c01:split-1,34370345:p00042,34370345,narrative,The proposed changes are twofold,II.A,8584,8633,1c12e7ea081a3dc4b596368d47ca0d1f46afcc43fc428eb3927974fe7677f1e8,sentence,,heading
34370345:p00043:c01:split-1,34370345:p00043,34370345,narrative,The proposed changes are twofold,II.A,8636,8719,4fc3172944c9bd5b175e86b2831f661e5f20cc0d84006f1eb08c667c9889ede8,sentence,,heading
34370345:p00047:c01:split-1,34370345:p00047,34370345,narrative,"The disbursement categories were already simplified under restructuring 1, in December 2023, and under",II.B,10207,10289,e4791ef151389553a3fa506cbf0f7c1239acf9b4e17443431a9add5b37f6cca4,sentence,,heading
34370345:p00050:c01:split-1,34370345:p00050,34370345,narrative,"As a result of these proposed cancellations, modifications to the Results Framework are required, as indicated in",II.C,11031,11038,8c97c4c910e6c11dbfde42fe2a7a24cd936aedc518bdc3df9e040bfa26f2a7e7,sentence,,duplicate
34370345:p00051:c02:split-1,34370345:p00051,34370345,narrative,"As a result of these proposed cancellations, modifications to the Results Framework are required, as indicated in",II.C,11191,11198,1e4de31f94535968f4e4ca8fd577a4598e984bc5c89dae095924e944c121c7a3,verb_subtree,,duplicate
34370345:p00054:c05:split-1,34370345:p00054,34370345,narrative,"In addition, the project team proposes to align other indicators with the new corporate scorecard indicators (CSIs), as",II.D,13635,13642,1e4de31f94535968f4e4ca8fd577a4598e984bc5c89dae095924e944c121c7a3,verb_subtree,,duplicate
34370345:p00062:c02:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,18558,18596,670d902617fb1411ed092f35a057151a73df9ee600f14bad272b554fb3b9c156,sentence,,duplicate
34370345:p00062:c03:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,18597,18606,8cbbe6f92f7d6db4f1bc3b945856d13dda9fc55c3af151bef6d55a2f4beaa557,verb_subtree,,duplicate
34370345:p00062:c04:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,18607,18644,cc7ba53d98ab1b4d5b9ccd326cf381189bf7d72fd42e9feb6e72a10fa3c6d189,verb_subtree,,duplicate
34370345:p00062:c05:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,18646,18748,39cba430cccb9aacf0f93adaf2004d4f77eef6a60ab3e5d303f0d52f5afcd211,sentence,,duplicate
34370345:p00062:c06:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,18749,18804,94628497a2e2a6b64207c909ce01a334c8f548de664647dbcbe23162cc0e4692,verb_subtree,,duplicate
34370345:p00062:c08:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,18878,18904,c07ff9ced869dfcffd708303417cb14a0ace8267d27d38a12ec02158f3d3abf1,sentence,,duplicate
34370345:p00062:c09:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,18905,18961,56431241a1205dd8a79ea84049bd8252d9f042fe5e5df982d9facf290f986b62,verb_subtree,,duplicate
34370345:p00062:c10:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,18962,18978,ebfaaf610b6378b2567ba359409d7daf7e72fb8bd65d3ce392e74a3d41d5c6c6,verb_subtree,,duplicate
34370345:p00062:c12:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19035,19058,a767943afea03623f18aa192141360e742dab173ec721702bb4e5ba4b450d05b,coord_conj,,duplicate
34370345:p00062:c13:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19059,19141,19ee6319f4524fc9c438a426e5d205f05b28b8683175f1427d17fa622aef24f7,verb_subtree,,duplicate
34370345:p00062:c14:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19143,19165,cb0412d048ea1d5f06e471d24abbd8adf8dba7613add8f5e89c39c60cd998ca8,sentence,,duplicate
34370345:p00062:c15:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19166,19175,07024d0685c57fd566f43bef5592efb19b97551db1e031ed806cbc2eb307edd0,verb_subtree,,duplicate
34370345:p00062:c16:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19176,19203,1508c2796aacfaa53bf4477a3d429da8d401e10907fb63618ca18eb1ff9e0ea8,coord_conj,,duplicate
34370345:p00062:c17:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19205,19253,21eb79c4576042eba02e2911dc8d0aca64077829700cb4e4e6c95c1873691582,sentence,,duplicate
34370345:p00062:c18:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19254,19262,5a7cbb9c6db3d90d065074cdfa7d820fd3fdc07b9ede1a283e043774e133ff7c,verb_subtree,,duplicate
34370345:p00062:c19:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19264,19319,8c447dc314799a2c9be76fffb994075bddcb77da463c3c696319f7122880a96b,sentence,,duplicate
34370345:p00062:c20:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19320,19374,b1618c8991fe96b2bb8d546d57c2e33e0e743e1d35ed821fd8f2cf2874390115,verb_subtree,,duplicate
34370345:p00062:c21:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19376,19452,763d5d8d22023534fdbc9ad4a61368b7f0513093dd7a388c9fb2dafd5683c589,sentence,,duplicate
34370345:p00062:c22:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19453,19489,2d5aa3ec36574ff53fd828f9b3371e58e2a4fa64b9379c58632d78d209dcacf6,coord_conj,,duplicate
34370345:p00062:c23:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19490,19541,d8f2b8d002bf337732119506c22faf87f2f30a528cc5503375f5edba126775d7,verb_subtree,,duplicate
34370345:p00062:c24:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19543,19621,4676e8a75805e10a5bbb3c20a7796ea1a59996a92ddf220151ce2685de0c479f,sentence,,duplicate
34370345:p00062:c25:split-1,34370345:p00062,34370345,narrative,"Financial Mangment: A review of the financial management was conducted , in accordance with the Bank Directives",II.G,19622,19648,73f3cc8e81bd0be76836bc80fe6c6c824284e5719f42b69705b254dbe97b06cb,verb_subtree,,duplicate
34370345:p00064:c01:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,19826,19848,6316f7c9e68caa7b1c3a0b9bb51490863d291acf7973db2aabfe245afb16c4c3,sentence,,duplicate
34370345:p00064:c02:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,19850,19869,25552f60d60ce188e0e4f822159298644605e634f892417de7c5b949cf843868,relative,,duplicate
34370345:p00064:c03:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,19870,19880,13da0d55faaa73ab8b06bbb88eb765edf3e6964413cc5811c7725f9c95882b0d,verb_subtree,,duplicate
34370345:p00064:c04:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,19881,19907,f394d32531314440a10719468c9ff52dc2eab8e6ad9f1adc0328eedd29500256,verb_subtree,,duplicate
34370345:p00064:c05:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,19909,19967,d8d83ab4dde582b6fe4e9102760d7bb09539b9bbabf0905beb0940900e418ce8,sentence,,duplicate
34370345:p00064:c08:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,20046,20083,bc27d4a8f4facfce84b981ab8c96938e292ba83c3f6b4b294a8aaab6c4581423,sentence,,duplicate
34370345:p00064:c09:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,20084,20234,65f8f65b46d4bf1f737ba50b10abf5005f669c2ea04963bad0cc0efb3c6c10f0,verb_subtree,,duplicate
34370345:p00064:c10:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,20236,20314,bded36f1d5bebdca26ca70a15fe4954497b116d60e1b73cf5d7aecd944b8b1cc,sentence,,duplicate
34370345:p00064:c12:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,20424,20505,93fbe93af90ad8af4685988005097312e548af42e448ef8b4aa8cb00c640d683,verb_subtree,,duplicate
34370345:p00064:c13:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,20506,20578,f8c93063cd1f5ad0207e8c71a44b9d434c56b6bc872ba47897c6ba3ac0f9ff46,verb_subtree,,duplicate
34370345:p00064:c14:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,20580,20706,447d7868346b63374a512ba3856b50d652a21fabf8c6bb7e1fdc7cb6925dedad,sentence,,duplicate
34370345:p00064:c15:split-1,34370345:p00064,34370345,narrative,Procurement Mangement: The proposed change envisage a reduction in the procurement activitites which will be,II.H,20708,20806,57da321b515b20fb2a0a4b2911f0c71cc03668d53d6280cdec467cf6e994d0ff,relative,,duplicate
34370345:p00066:c11:split-1,34370345:p00066,34370345,narrative,"PCE/PCM. In addition to the changes desacribed above, the project is now tagged for both Private Capital Enabling (PCE)",I,21615,21618,6201111b83a0cb5b0922cb37cc442b9a40e24e3b1ce100a4bb204f4c63fd2ac0,coord_conj,,duplicate
34370345:p00068:c09:split-1,34370345:p00068,34370345,narrative,Additional Financing. The letter of request from the Ministry of Finance states that the funds cancelled from the projec,I.J,22770,22779,c3b331519d66fde7cefd593212f5edc21771bffe2cece9a5c3045908525c334d,subord_conj,,duplicate
